Message id,Customer id,Sender id,Creation date,Message source,Message source id,Total file size,File count,Message expiry,Tags,Add-on Features
018fd89e-34dc-7000-a5de-e18b6e43a9ce,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:03:17,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,100917,2,2034-06-02,,Sharable
018fd89f-8357-7000-9317-57a15660aed0,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:04:43,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,14539,2,2034-06-02,,Sharable
018fd8b8-6a01-7000-8bfb-cc3494b94bfd,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:31:55,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,192,1,2034-06-02,,Sharable
018fd8b8-6a10-7000-84dd-ea03736ac807,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:31:55,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,192,1,2034-06-02,,Sharable
018fd8ba-b6cf-7000-84d7-bf0e594d5288,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:34:26,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,197,1,2034-06-02,,Sharable
018fd8c2-9aef-7000-b92d-4e5520258315,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-02 14:43:03,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,198,1,2034-06-02,,Sharable
018fd8f3-424d-7000-a52f-dd72284cdc6a,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,pfdmgkd83hsazrw5ijzaltjahg88nuim,2024-06-02 15:36:11,Portal,018f8159-3850-7000-b70f-a869fa1a0b73,191,1,2034-06-02,contract,Sharable
018fdd25-1697-7000-9687-0d52d8bed61b,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:09:06,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,99619,2,2034-06-03,,Sharable
018fdd26-ccb2-7000-82d5-441d0b52b6d1,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:10:58,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,356140,2,2034-06-03,,Sharable
018fdd2c-eb26-7000-9f87-581f674c676a,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:17:39,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,444,2,2034-06-03,,Sharable
018fdd2f-0577-7000-8005-b1e2d6ca1957,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:19:57,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,114587,5,2034-06-03,,Sharable
018fdd45-8ac7-7000-8cdd-017cfbd10454,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:44:33,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1180,2,2034-06-03,,Sharable
018fdd4c-5dcd-7000-933d-ed383842026a,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:52:00,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1170,2,2034-06-03,,Sharable
018fdd50-d056-7000-a86d-2bf64c494bd0,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 11:56:52,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,205,1,2034-06-03,,Sharable
018fdd58-7aa8-7000-bcba-899324400c5c,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:05:14,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1190,2,2034-06-03,,Sharable
018fdd61-1147-7000-90c8-c6979a6cb5d9,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:14:37,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1185,2,2034-06-03,,Sharable
018fdd65-bec0-7000-ab2b-daa25d62ea99,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:19:43,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1175,2,2034-06-03,,Sharable
018fdd67-2085-7000-a815-913c9c64db50,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:21:14,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1170,2,2034-06-03,,Sharable
018fdd6c-9252-7000-a485-0f4b6b26d281,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:27:11,Portal,0189f7df-b6bd-7000-a13f-5d9648919960,187,1,2034-06-03,,Sharable
018fdd6c-a63d-7000-843e-46b5d7c48eab,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:27:16,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,198,1,2034-06-03,,Sharable
018fdd71-5376-7000-876d-e6812bdd5e1a,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 12:32:22,Portal,018e4b4a-cfdb-7000-b338-5584ca5814b6,196,1,2034-06-03,,Sharable
018fdd95-e865-7000-84c3-5dc876e1ff99,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 13:12:18,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,93016,1,2034-06-03,,Sharable
018fdd97-22f8-7000-b87f-f1fa601da222,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 13:13:40,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1175,2,2034-06-03,,Sharable
018fdd99-5c59-7000-9090-66654973f49b,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 13:16:06,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,639,1,2034-06-03,,Sharable
018fddd9-813f-7000-b6a2-612d994ef2ae,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 14:26:10,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,1175,2,2034-06-03,,Sharable
018fdddb-abce-7000-8761-32398d40d44b,e4e4s3zecsfly0rosbx3gu7ce9eoqmew,1wda2f2f5u4bj4cmfjgobk929phrqqov,2024-06-03 14:28:30,Portal,018f8159-a6e4-7000-a839-9a32bbb3baaa,93090,1,2034-06-03,,Sharable
